PWM,wheel,surface,enc_per_ms
44,right,table,0.9091
44,right,table,0.75
44,right,table,0.8182
44,right,table,0.9091
44,right,table,0.8182
44,right,table,0.8182
48,right,table,0.9091
48,right,table,0.9091
48,right,table,0.9091
48,right,table,0.8182
48,right,table,1
48,right,table,0.9091
48,right,table,1
48,right,table,0.9091
48,right,table,1
48,right,table,1
52,right,table,1
52,right,table,1
52,right,table,1
52,right,table,1
52,right,table,1
52,right,table,0.9091
52,right,table,1
52,right,table,1
52,right,table,1
52,right,table,0.9091
56,right,table,1
56,right,table,1.0909
56,right,table,1
56,right,table,0.9091
56,right,table,1
56,right,table,1.0909
56,right,table,1
56,right,table,1.0909
56,right,table,1.0909
56,right,table,1.0909
60,right,table,1
60,right,table,1.1818
60,right,table,1.1818
60,right,table,1.1818
60,right,table,1.0909
60,right,table,1.1818
60,right,table,1.1818
60,right,table,1.2727
60,right,table,1.0909
60,right,table,1.1818
64,right,table,1.2727
64,right,table,1.2727
64,right,table,1.0909
64,right,table,1.3636
64,right,table,1.2727
64,right,table,1.2727
64,right,table,1.1818
64,right,table,1.3636
64,right,table,1.2727
64,right,table,1.3636
68,right,table,1.1818
68,right,table,1.3636
68,right,table,1.3636
68,right,table,1.25
68,right,table,1.3636
68,right,table,1.4545
68,right,table,1.3636
68,right,table,1.2727
68,right,table,1.4545
68,right,table,1.4545
72,right,table,1.3636
72,right,table,1.3636
72,right,table,1.4545
72,right,table,1.4545
72,right,table,1.5455
72,right,table,1.2727
72,right,table,1.5455
72,right,table,1.5455
72,right,table,1.4545
72,right,table,1.4545
76,right,table,1.4545
76,right,table,1.5455
76,right,table,1.5455
76,right,table,1.4545
76,right,table,1.6364
76,right,table,1.5455
76,right,table,1.5455
76,right,table,1.4545
76,right,table,1.6364
76,right,table,1.6364
80,right,table,1.5455
80,right,table,1.5455
80,right,table,1.6364
80,right,table,1.6364
80,right,table,1.5
80,right,table,1.7273
80,right,table,1.6364
80,right,table,1.7273
80,right,table,1.5455
80,right,table,1.6364
84,right,table,1.7273
84,right,table,1.7273
84,right,table,1.6364
84,right,table,1.7273
84,right,table,1.7273
84,right,table,1.7273
84,right,table,1.6364
84,right,table,1.7273
84,right,table,1.8182
84,right,table,1.8182
88,right,table,1.6364
88,right,table,1.8182
88,right,table,1.8182
88,right,table,1.8182
88,right,table,1.7273
88,right,table,1.8182
88,right,table,1.9091
88,right,table,1.9091
88,right,table,1.6364
88,right,table,1.9091
92,right,table,1.9091
92,right,table,1.75
92,right,table,1.9091
92,right,table,2
92,right,table,1.9091
92,right,table,1.7273
92,right,table,2
92,right,table,2
92,right,table,2
92,right,table,1.8182
96,right,table,2.0909
96,right,table,2
96,right,table,2
96,right,table,1.9091
96,right,table,2
96,right,table,2
96,right,table,2.0909
